"","Team","X.","Pos.","FIFA.Popular.Name","Birth.Date","Shirt.Name","Club","Height","Weight","League","Age"
"578","Senegal",3,"DF","KOULIBALY Kalidou",1991-06-20,"KOULIBALY","SSC Napoli",195,89,"ITA",26.9835616438356
"579","Senegal",4,"DF","MBODJI Kara",1989-11-22,"KARA","RSC Anderlecht",192,85,"BEL",28.558904109589
"580","Senegal",5,"MF","GUEYE Idrissa Gana",1989-09-26,"GANA","Everton FC",174,64,"ENG",28.7150684931507
"581","Senegal",6,"MF","SANE Salif",1990-08-25,"S. SANE","Hannover 96",196,84,"GER",27.8027397260274
"582","Senegal",7,"FW","SOW Moussa",1986-01-19,"SOW","Bursaspor",180,75,"TUR",32.4
"583","Senegal",8,"MF","KOUYATE Cheikhou",1989-12-21,"C. KOUYATE","West Ham United FC",189,75,"ENG",28.4794520547945
"584","Senegal",9,"FW","DIOUF Mame",1987-12-16,"M. DIOUF","Stoke City FC",185,81,"ENG",30.4931506849315
"585","Senegal",10,"FW","MANE Sadio",1992-04-10,"MANE","Liverpool FC",175,69,"ENG",26.1780821917808
"586","Senegal",11,"MF","NDOYE Cheikh",1986-03-29,"CH. NDOYE","Birmingham City FC",192,90,"ENG",32.2109589041096
"587","Senegal",12,"DF","SABALY Youssouf",1993-03-05,"SABALY","FC Girondins Bordeaux",174,71,"FRA",25.2767123287671
"588","Senegal",13,"MF","NDIAYE Alfred",1990-03-06,"A. NDIAYE","Wolverhampton Wanderers FC",186,80,"ENG",28.2739726027397
"589","Senegal",14,"FW","KONATE Moussa",1993-04-03,"KONATE","Amiens SC",180,78,"FRA",25.1972602739726
"590","Senegal",15,"FW","SAKHO Diafra",1989-12-24,"SAKHO","Stade Rennais FC",184,79,"FRA",28.4712328767123
"591","Senegal",16,"GK","NDIAYE Khadim",1985-04-05,"KH. NDIAYE","Horoya AC",185,80,"GUI",33.1917808219178
"592","Senegal",17,"MF","NDIAYE Pape Alioune",1990-10-27,"P.A. NDIAYE","Stoke City FC",181,74,"ENG",27.6301369863014
"593","Senegal",18,"FW","SARR Ismaila",1998-02-25,"ISMAÏLA","Stade Rennais FC",175,70,"FRA",20.2986301369863
"594","Senegal",19,"FW","NIANG Mbaye",1994-12-19,"NIANG","Torino FC",184,74,"ITA",23.4849315068493
"595","Senegal",20,"FW","BALDE Keita",1995-03-08,"KEÏTA BALDE","AS Monaco",181,77,"FRA",23.2684931506849
"596","Senegal",21,"DF","GASSAMA Lamine",1989-10-20,"GASSAMA","Adanaspor",181,74,"TUR",28.6493150684932
"597","Senegal",22,"DF","WAGUE Moussa",1998-10-04,"M. WAGUE","KAS Eupen",177,70,"BEL",19.6931506849315
"598","Senegal",23,"GK","GOMIS Alfred",1993-09-05,"GOMIS","SPAL Ferrara",196,80,"ITA",24.772602739726
"599","Serbia",1,"GK","STOJKOVIC Vladimir",1983-07-28,"STOJKOVIĆ","FK Partizan",195,92,"SRB",34.8794520547945
"600","Serbia",2,"DF","RUKAVINA Antonio",1984-01-26,"RUKAVINA","Villarreal CF",177,71,"ESP",34.3808219178082
"601","Serbia",3,"DF","TOSIC Dusko",1985-01-19,"TOŠIĆ","Besiktas JK",185,79,"TUR",33.4
"602","Serbia",4,"MF","MILIVOJEVIC Luka",1991-04-07,"MILIVOJEVIĆ","Crystal Palace FC",186,80,"ENG",27.186301369863
"603","Serbia",5,"DF","SPAJIC Uros",1993-02-13,"SPAJIĆ","RSC Anderlecht",188,82,"BEL",25.3315068493151
"604","Serbia",6,"DF","IVANOVIC Branislav",1984-02-22,"IVANOVIĆ","FC Zenit St. Petersburg",185,89,"RUS",34.3068493150685
"605","Serbia",7,"MF","ZIVKOVIC Andrija",1996-07-11,"ŽIVKOVIĆ","SL Benfica",169,68,"POR",21.9260273972603
"606","Serbia",8,"FW","PRIJOVIC Aleksandar",1990-04-21,"PRIJOVIĆ","PAOK FC",191,88,"GRE",28.1479452054795
"607","Serbia",9,"FW","MITROVIC Aleksandar",1994-09-16,"MITROVIĆ","Fulham FC",189,82,"ENG",23.7424657534247
"608","Serbia",10,"MF","TADIC Dusan",1988-11-20,"TADIĆ","Southampton FC",181,76,"ENG",29.5643835616438
"609","Serbia",11,"DF","KOLAROV Aleksandar",1985-11-10,"KOLAROV","AS Roma",187,83,"ITA",32.5917808219178
"610","Serbia",12,"GK","RAJKOVIC Predrag",1995-10-31,"RAJKOVIĆ","Maccabi Tel-Aviv FC",191,85,"ISR",22.6191780821918
"611","Serbia",13,"DF","VELJKOVIC Milos",1995-09-26,"VELJKOVIĆ","SV Werder Bremen",188,77,"GER",22.7150684931507
"612","Serbia",14,"DF","RODIC Milan",1991-04-02,"RODIĆ","FK Crvena Zvezda",185,69,"SRB",27.2
"613","Serbia",15,"DF","MILENKOVIC Nikola",1997-10-12,"MILENKOVIĆ","ACF Fiorentina",195,90,"ITA",20.6712328767123
"614","Serbia",16,"MF","GRUJIC Marko",1996-04-13,"GRUJIĆ","Cardiff City FC",190,82,"WAL",22.1698630136986
"615","Serbia",17,"MF","KOSTIC Filip",1992-11-01,"KOSTIĆ","Hamburger SV",184,82,"GER",25.6164383561644
"616","Serbia",18,"FW","RADONJIC Nemanja",1996-02-15,"RADONJIĆ","FK Crvena Zvezda",185,76,"SRB",22.3260273972603
"617","Serbia",19,"FW","JOVIC Luka",1997-12-23,"JOVIĆ","Eintracht Frankfurt",181,75,"GER",20.4739726027397
"618","Serbia",20,"MF","MILINKOVIC-SAVIC Sergej",1995-02-27,"SERGEJ","SS Lazio",192,76,"ITA",23.2931506849315
"619","Serbia",21,"MF","MATIC Nemanja",1988-08-01,"MATIĆ","Manchester United FC",194,86,"ENG",29.8684931506849
"620","Serbia",22,"MF","LJAJIC Adem",1991-09-29,"LJAJIĆ","Torino FC",182,74,"ITA",26.7068493150685
"621","Serbia",23,"GK","DMITROVIC Marko",1992-01-24,"DMITROVIĆ","SD Eibar",194,90,"ESP",26.386301369863
"622","Spain",1,"GK","DE GEA David",1990-11-07,"DE GEA","Manchester United FC",190,71,"ENG",27.6
"623","Spain",2,"DF","CARVAJAL Dani",1992-01-11,"CARVAJAL","Real Madrid CF",173,73,"ESP",26.4219178082192
"624","Spain",3,"DF","PIQUE Gerard",1987-02-02,"PIQUÉ","FC Barcelona",194,85,"ESP",31.3616438356164
"625","Spain",4,"DF","NACHO",1990-01-18,"NACHO","Real Madrid CF",179,77,"ESP",28.4027397260274
"626","Spain",5,"MF","BUSQUETS Sergio",1988-07-16,"SERGIO","FC Barcelona",189,78,"ESP",29.9123287671233
"627","Spain",6,"MF","INIESTA Andres",1984-05-11,"A. INIESTA","FC Barcelona",171,68,"ESP",34.0931506849315
"628","Spain",7,"MF","SAUL",1994-11-21,"SAÚL","Atletico Madrid",183,76,"ESP",23.5616438356164
"629","Spain",8,"MF","KOKE",1992-01-08,"KOKE","Atletico Madrid",176,73,"ESP",26.4301369863014
"630","Spain",9,"FW","RODRIGO",1991-03-06,"RODRIGO M.","Valencia CF",182,72,"ESP",27.2739726027397
"631","Spain",10,"MF","THIAGO",1991-04-11,"THIAGO","FC Bayern München",174,70,"GER",27.1753424657534
"632","Spain",11,"FW","VAZQUEZ Lucas",1991-07-01,"LUCAS V.","Real Madrid CF",173,70,"ESP",26.9534246575342
"633","Spain",12,"DF","ODRIOZOLA Alvaro",1995-12-14,"ODRIOZOLA","Real Sociedad",178,67,"ESP",22.4986301369863
"634","Spain",13,"GK","ARRIZABALAGA Kepa",1994-10-03,"ARRIZABALAGA","Athletic Bilbao",189,84,"ESP",23.6958904109589
"635","Spain",14,"DF","AZPILICUETA Cesar",1989-08-28,"AZPILICUETA","Chelsea FC",178,78,"ENG",28.7945205479452
"636","Spain",15,"DF","RAMOS Sergio",1986-03-30,"RAMOS","Real Madrid CF",183,75,"ESP",32.2082191780822
"637","Spain",16,"DF","MONREAL Nacho",1986-02-26,"MONREAL","Arsenal FC",179,72,"ENG",32.2958904109589
"638","Spain",17,"FW","ASPAS Iago",1987-08-01,"IAGO ASPAS","Celta Vigo",176,67,"ESP",30.8684931506849
"639","Spain",18,"DF","ALBA Jordi",1989-03-21,"JORDI ALBA","FC Barcelona",170,68,"ESP",29.2328767123288
"640","Spain",19,"FW","COSTA Diego",1988-10-07,"DIEGO COSTA","Atletico Madrid",185,86,"ESP",29.6849315068493
"641","Spain",20,"MF","ASENSIO Marco",1996-01-21,"ASENSIO","Real Madrid CF",182,76,"ESP",22.3945205479452
"642","Spain",21,"FW","SILVA David",1986-01-08,"SILVA","Manchester City FC",170,67,"ENG",32.4301369863014
"643","Spain",22,"MF","ISCO",1992-04-21,"ISCO","Real Madrid CF",176,74,"ESP",26.1479452054795
"644","Spain",23,"GK","REINA Pepe",1982-08-31,"REINA","SSC Napoli",188,92,"ITA",35.786301369863
"645","Sweden",1,"GK","OLSEN Robin",1990-01-08,"OLSEN","FC Kobenhavn",198,89,"DEN",28.4301369863014
"646","Sweden",2,"DF","LUSTIG Mikael",1986-12-13,"LUSTIG","Celtic FC",189,77,"SCO",31.5013698630137
"647","Sweden",3,"DF","LINDELOF Victor",1994-07-17,"LINDELÖF","Manchester United FC",187,81,"ENG",23.9095890410959
"648","Sweden",4,"DF","GRANQVIST Andreas",1985-04-16,"GRANQVIST","FC Krasnodar",192,84,"RUS",33.1616438356164
"649","Sweden",5,"DF","OLSSON Martin",1988-05-17,"OLSSON","Swansea City AFC",177,81,"WAL",30.0767123287671
"650","Sweden",6,"DF","AUGUSTINSSON Ludwig",1994-04-21,"AUGUSTINSSON","SV Werder Bremen",181,76,"GER",24.1479452054795
"651","Sweden",7,"MF","LARSSON Sebastian",1985-06-06,"LARSSON","Hull City FC",178,70,"ENG",33.0219178082192
"652","Sweden",8,"MF","EKDAL Albin",1989-07-28,"EKDAL","Hamburger SV",186,75,"GER",28.8794520547945
"653","Sweden",9,"FW","BERG Marcus",1986-08-17,"BERG","Al Ain FC",183,76,"UAE",31.8246575342466
"654","Sweden",10,"MF","FORSBERG Emil",1991-10-23,"FORSBERG","RB Leipzig",179,78,"GER",26.641095890411
"655","Sweden",11,"FW","GUIDETTI John",1992-04-15,"GUIDETTI","Deportivo Alavés",185,79,"ESP",26.1643835616438
"656","Sweden",12,"GK","JOHNSSON Karl-Johan",1990-01-28,"JOHNSSON","EA Guingamp",187,83,"FRA",28.3753424657534
"657","Sweden",13,"MF","SVENSSON Gustav",1987-02-07,"SVENSSON","Seattle Sounders FC",183,77,"USA",31.3479452054795
"658","Sweden",14,"DF","HELANDER Filip",1993-04-22,"HELANDER","Bologna FC",192,83,"ITA",25.1452054794521
"659","Sweden",15,"MF","HILJEMARK Oscar",1992-06-28,"HILJEMARK","Genoa CFC",184,73,"ITA",25.9616438356164
"660","Sweden",16,"DF","KRAFTH Emil",1994-08-02,"KRAFTH","Bologna FC",181,72,"ITA",23.8657534246575
"661","Sweden",17,"MF","CLAESSON Viktor",1992-01-02,"CLAESSON","FC Krasnodar",183,79,"RUS",26.4465753424658
"662","Sweden",18,"DF","JANSSON Pontus",1991-02-13,"JANSSON","Leeds United FC",194,89,"ENG",27.3315068493151
"663","Sweden",19,"MF","ROHDEN Marcus",1991-05-11,"ROHDÉN","FC Crotone",182,76,"ITA",27.0931506849315
"664","Sweden",20,"FW","TOIVONEN Ola",1986-07-03,"TOIVONEN","Toulouse FC",192,78,"FRA",31.9479452054795
"665","Sweden",21,"MF","DURMAZ Jimmy",1989-03-22,"DURMAZ","Toulouse FC",180,69,"FRA",29.2301369863014
"666","Sweden",22,"FW","THELIN Isaac Kiese",1992-06-24,"KIESE THELIN","KV Waasland-Beveren",189,83,"BEL",25.972602739726
"667","Sweden",23,"GK","NORDFELDT Kristoffer",1989-06-23,"NORDFELDT","Swansea City AFC",190,85,"WAL",28.9753424657534
"668","Switzerland",1,"GK","SOMMER Yann",1988-12-17,"SOMMER","VfL Borussia Mönchengladbach",183,81,"GER",29.4904109589041
"669","Switzerland",2,"DF","LICHTSTEINER Stephan",1984-01-16,"LICHTSTEINER","Juventus FC",181,77,"ITA",34.4082191780822
"670","Switzerland",3,"DF","MOUBANDJE Francois",1990-06-21,"MOUBANDJE","Toulouse FC",180,76,"FRA",27.9808219178082
"671","Switzerland",4,"DF","ELVEDI Nico",1996-09-30,"ELVEDI","VfL Borussia Mönchengladbach",187,77,"GER",21.7041095890411
"672","Switzerland",5,"DF","AKANJI Manuel",1995-07-19,"AKANJI","Borussia Dortmund",186,85,"GER",22.9041095890411
"673","Switzerland",6,"DF","LANG Michael",1991-02-08,"LANG","FC Basel",185,78,"SUI",27.3452054794521
"674","Switzerland",7,"FW","EMBOLO Breel",1997-02-14,"EMBOLO","FC Schalke 04",184,86,"GER",21.3287671232877
"675","Switzerland",8,"MF","FREULER Remo",1992-04-15,"FREULER","Atalanta Bergamo",181,75,"ITA",26.1643835616438
"676","Switzerland",9,"FW","SEFEROVIC Haris",1992-02-22,"SEFEROVIC","SL Benfica",186,88,"POR",26.3068493150685
"677","Switzerland",10,"MF","XHAKA Granit",1992-09-27,"XHAKA","Arsenal FC",183,82,"ENG",25.7123287671233
"678","Switzerland",11,"MF","BEHRAMI Valon",1985-04-19,"BEHRAMI","Udinese Calcio",184,78,"ITA",33.1534246575342
"679","Switzerland",12,"GK","MVOGO Yvon",1994-06-06,"MVOGO","RB Leipzig",186,84,"GER",24.0219178082192
"680","Switzerland",13,"DF","RODRIGUEZ Ricardo",1992-08-25,"RODRIGUEZ","AC Milan",180,79,"ITA",25.8027397260274
"681","Switzerland",14,"MF","ZUBER Steven",1991-08-17,"ZUBER","TSG 1899 Hoffenheim",182,79,"GER",26.8246575342466
"682","Switzerland",15,"MF","DZEMAILI Blerim",1986-04-12,"DZEMAILI","Bologna FC",180,77,"ITA",32.172602739726
"683","Switzerland",16,"MF","FERNANDES Gelson",1986-09-02,"G. FERNANDES","Eintracht Frankfurt",180,72,"GER",31.7808219178082
"684","Switzerland",17,"MF","ZAKARIA Denis",1996-11-20,"ZAKARIA","VfL Borussia Mönchengladbach",189,77,"GER",21.5643835616438
"685","Switzerland",18,"FW","GAVRANOVIC Mario",1989-11-24,"GAVRANOVIC","GNK Dinamo Zagreb",175,75,"CRO",28.5534246575342
"686","Switzerland",19,"FW","DRMIC Josip",1992-08-08,"DRMIC","VfL Borussia Mönchengladbach",184,78,"GER",25.8493150684932
"687","Switzerland",20,"DF","DJOUROU Johan",1987-01-18,"DJOUROU","Antalyaspor AS",192,90,"TUR",31.4027397260274
"688","Switzerland",21,"GK","BUERKI Roman",1990-11-14,"BÜRKI","Borussia Dortmund",188,83,"GER",27.5808219178082
"689","Switzerland",22,"DF","SCHAER Fabian",1991-12-20,"SCHÄR","Deportivo La Coruña",186,83,"ESP",26.4821917808219
"690","Switzerland",23,"MF","SHAQIRI Xherdan",1991-10-10,"SHAQIRI","Stoke City FC",165,78,"ENG",26.6767123287671
"691","Tunisia",1,"GK","BEN MUSTAPHA Farouk",1989-07-01,"BEN MUSTAPHA","Al Shabab FC",192,85,"KSA",28.9534246575342
"692","Tunisia",2,"DF","BEN YOUSSEF Syam",1989-03-31,"BEN YOUSSEF .S","Kasimpasa SK",189,87,"TUR",29.2054794520548
"693","Tunisia",3,"DF","BEN ALOUANE Yohan",1987-03-28,"BEN ALOUANE","Leicester City FC",185,75,"ENG",31.213698630137
"694","Tunisia",4,"DF","MERIAH Yassine",1993-07-02,"MERIAH","CS Sfaxien",183,70,"TUN",24.9506849315068
"695","Tunisia",5,"DF","HADDADI Oussama",1992-01-28,"HADDADI","Dijon FCO",185,76,"FRA",26.3753424657534
"696","Tunisia",6,"DF","BEDOUI Rami",1990-01-19,"BEDOUI","Étoile du Sahel",187,77,"TUN",28.4
"697","Tunisia",7,"FW","KHAOUI Saifeddine",1995-04-27,"KHAOUI","ES Troyes",180,76,"FRA",23.1315068493151
"698","Tunisia",8,"FW","BEN YOUSSEF Fakhreddine",1991-06-23,"BEN YOUSSEF .F","Al Ittifaq FC",189,80,"KSA",26.9753424657534
"699","Tunisia",9,"MF","BADRI Anice",1990-09-18,"BADRI","ES Tunis",178,70,"TUN",27.7369863013699
"700","Tunisia",10,"FW","KHAZRI Wahbi",1991-02-08,"KHAZRI","Stade Rennais FC",182,76,"FRA",27.3452054794521
"701","Tunisia",11,"DF","BRONN Dylan",1995-06-19,"BRONN","KAA Gent",186,75,"BEL",22.986301369863
"702","Tunisia",12,"DF","MAALOUL Ali",1990-01-01,"MAALOUL","Al Ahly SC",170,72,"EGY",28.4493150684931
"703","Tunisia",13,"MF","SASSI Ferjani",1992-03-18,"SASSI","Al Nassr FC",186,80,"KSA",26.241095890411
"704","Tunisia",14,"MF","BEN AMOR Mohamed",1992-05-03,"BEN AMOR","Al Ahli SC",180,75,"KSA",26.1150684931507
"705","Tunisia",15,"FW","KHALIL Ahmed",1994-12-21,"KHALIL","Club Africain",187,75,"TUN",23.4794520547945
"706","Tunisia",16,"GK","MATHLOUTHI Aymen",1984-09-14,"MATHLOUTHI .A","Al Batin FC",182,84,"KSA",33.7479452054795
"707","Tunisia",17,"MF","SKHIRI Ellyes",1995-05-10,"SKHIRI JORIS","Montpellier HSC",185,69,"FRA",23.0958904109589
"708","Tunisia",18,"FW","SRARFI Bassem",1997-06-25,"SRARFI","OGC Nice",176,71,"FRA",20.9698630136986
"709","Tunisia",19,"FW","KHALIFA Saber",1986-10-14,"KHALIFA","Club Africain",185,72,"TUN",31.6657534246575
"710","Tunisia",20,"FW","CHAALELI Ghaylen",1994-02-28,"CHAALELI","ES Tunis",179,70,"TUN",24.2904109589041
"711","Tunisia",21,"DF","NAGUEZ Hamdi",1992-10-28,"NAGUEZ","Zamalek",186,75,"EGY",25.627397260274
"712","Tunisia",22,"GK","HASSEN Mouez",1995-03-05,"HASSEN","LB Chateauroux",186,70,"FRA",23.2767123287671
"713","Tunisia",23,"FW","SLITI Naim",1992-07-27,"SLITI","Dijon FCO",173,65,"FRA",25.8821917808219
"714","Uruguay",1,"GK","MUSLERA Fernando",1986-06-16,"F. MUSLERA","Galatasaray SK",190,74,"TUR",31.9945205479452
"715","Uruguay",2,"DF","GIMENEZ Jose",1995-01-20,"J.M. GIMENEZ","Atletico Madrid",185,77,"ESP",23.3972602739726
"716","Uruguay",3,"DF","GODIN Diego",1986-02-16,"D. GODIN","Atletico Madrid",185,73,"ESP",32.3232876712329
"717","Uruguay",4,"DF","VARELA Guillermo",1993-03-24,"G. VARELA","CA Penarol",173,70,"URU",25.2246575342466
"718","Uruguay",5,"MF","SANCHEZ Carlos",1984-12-02,"C. SANCHEZ","CF Monterrey",171,74,"MEX",33.5315068493151
"719","Uruguay",6,"MF","BENTANCUR Rodrigo",1997-06-25,"R. BENTANCUR","Juventus FC",187,73,"ITA",20.9698630136986
"720","Uruguay",7,"MF","RODRIGUEZ Cristian",1985-09-30,"C. RODRIGUEZ","CA Penarol",178,79,"URU",32.7041095890411
"721","Uruguay",8,"MF","NANDEZ Nahitan",1995-12-28,"N. NANDEZ","CA Boca Juniors",171,61,"ARG",22.4602739726027
"722","Uruguay",9,"FW","SUAREZ Luis",1987-01-24,"L. SUAREZ","FC Barcelona",182,85,"ESP",31.386301369863
"723","Uruguay",10,"FW","DE ARRASCAETA Giorgian",1994-06-01,"G. DE ARRASCAETA","Cruzeiro EC",172,64,"BRA",24.0356164383562
"724","Uruguay",11,"FW","STUANI Cristhian",1986-10-12,"C. STUANI","Girona FC",186,78,"ESP",31.6712328767123
"725","Uruguay",12,"GK","CAMPANA Martin",1989-05-29,"M. CAMPAÑA","CA Independiente",184,79,"ARG",29.0438356164384
"726","Uruguay",13,"DF","SILVA Gaston",1994-03-05,"G. SILVA","CA Independiente",185,74,"ARG",24.2767123287671
"727","Uruguay",14,"MF","TORREIRA Lucas",1996-02-11,"L. TORREIRA","UC Sampdoria",168,61,"ITA",22.3369863013699
"728","Uruguay",15,"MF","VECINO Matias",1991-08-24,"M. VECINO","FC Internazionale",189,80,"ITA",26.8054794520548
"729","Uruguay",16,"DF","PEREIRA Maximiliano",1984-06-08,"M. PEREIRA","FC Porto",173,73,"POR",34.0164383561644
"730","Uruguay",17,"MF","LAXALT Diego",1993-02-07,"D. LAXALT","Genoa CFC",178,66,"ITA",25.3479452054795
"731","Uruguay",18,"FW","GOMEZ Maximiliano",1996-08-14,"M. GOMEZ","Celta Vigo",186,85,"ESP",21.8328767123288
"732","Uruguay",19,"DF","COATES Sebastian",1990-10-07,"S. COATES","Sporting CP",196,89,"POR",27.6849315068493
"733","Uruguay",20,"FW","URRETAVISCAYA Jonathan",1990-03-19,"J. URRETAVISCAYA","CF Monterrey",172,66,"MEX",28.2383561643836
"734","Uruguay",21,"FW","CAVANI Edinson",1987-02-14,"E. CAVANI","Paris Saint-Germain FC",188,78,"FRA",31.3287671232877
"735","Uruguay",22,"DF","CACERES Martin",1987-04-07,"M. CACERES","SS Lazio",178,75,"ITA",31.186301369863
"736","Uruguay",23,"GK","SILVA Martin",1983-03-25,"M. SILVA","CR Vasco da Gama",187,82,"BRA",35.2219178082192
